GO.ID	Description	p.Val
GO:0016311	dephosphorylation	0.0016
GO:0007160	cell-matrix adhesion	0.0033
GO:0030182	neuron differentiation	0.0051
GO:0042542	response to hydrogen peroxide	0.0121
GO:0034727	piecemeal microautophagy of the nucleus	0.0121
GO:0006357	regulation of transcription by RNA polymerase II	0.0157
GO:0018216	peptidyl-arginine methylation	0.0178
GO:0043652	engulfment of apoptotic cell	0.0243
GO:0042744	hydrogen peroxide catabolic process	0.0243
GO:1902742	apoptotic process involved in development	0.0243
GO:0070782	phosphatidylserine exposure on apoptotic cell surface	0.0243
GO:0032465	regulation of cytokinesis	0.0316
GO:0034497	protein localization to phagophore assembly site	0.0316
GO:0050801	monoatomic ion homeostasis	0.0362
GO:0023052	signaling	0.0375
GO:0000054	ribosomal subunit export from nucleus	0.0485
